capacity_mw,latitude,longitude,primary_fuel
528.0,51.8347,-8.2362,Gas
435.0,51.8347,-8.2362,Gas
7.6,54.1222,-8.1486,Wind
86.0,52.7056,-8.6128,Hydro
13.3,52.3096,-9.5892,Wind
2.55,52.8301,-8.0752,Wind
42.0,52.5387,-6.2396,Wind
32.4,52.1790,-8.0910,Wind
6.45,54.1126,-9.5875,Wind
48.0,54.0108,-7.1142,Wind
57.0,52.0396,-8.9154,Wind
66.7,52.0396,-8.9154,Wind
39.6,52.7846,-7.6688,Wind
41.4,52.5898,-6.6391,Wind
46.0,52.3454,-9.4513,Wind
41.4,52.0174,-9.1545,Wind
1.6,51.8440,-8.1557,Wind
3.4,53.8485,-9.0712,Wind
116.0,53.2926,-7.0866,Oil
60.0,53.0937,-8.6095,Wind
8.0,53.9104,-9.3408,Wind
415.0,53.3400,-6.2049,Gas
117.6,53.2902,-7.0845,Oil
42.5,52.6420,-8.1479,Wind
26.0,54.1603,-8.2221,Wind
5.0,54.1417,-8.2673,Wind
32.5,52.6386,-8.0786,Wind
216.0,52.2793,-6.9935,Oil
343.0,53.4119,-6.3261,Gas
404.0,53.4119,-6.3261,Gas
45.0,51.9342,-9.3269,Wind
36.8,52.5394,-7.7745,Wind
87.0,52.2788,-9.0988,Wind
44.5,52.3412,-9.5676,Wind
5.9,53.9475,-8.5596,Wind
27.0,51.8833,-8.6333,Hydro
4.5,53.9241,-9.3505,Wind
54.0,52.7589,-7.7167,Wind
2.4,53.7707,-8.9710,Wind
88.0,51.9000,-8.4458,Gas
72.0,54.8702,-7.8562,Wind
32.55,52.9348,-7.7054,Wind
915.0,52.6074,-9.4237,Coal
84.0,53.2811,-7.2207,Wind
34.5,53.9955,-7.1190,Wind
480.0,53.3396,-6.1867,Gas
18.7,53.9001,-9.3579,Wind
36.5,52.7973,-6.3164,Wind
104.0,53.3594,-7.2130,Oil
166.0,52.6324,-9.0596,Gas
58.0,53.7356,-8.0679,Wind
488.0,52.5893,-9.3632,Oil
25.3,52.2563,-9.1340,Wind
104.0,54.1934,-9.2206,Oil
22.0,54.1217,-8.1455,Wind
292.0,53.0242,-6.4164,Hydro
388.5,53.1658,-8.3810,Gas
137.0,53.2735,-8.0403,Biomass
445.0,51.8161,-8.2511,Gas
