Year,Offset ID,Type,X,Y,Latitude,Longitude,Size,Capture Efficiency (%),Power Consumption (MW),CO2 Offset (tonnes),Negative CO2 Emissions (tonnes),Cost (€),Operating Cost (€),Total Annual Cost (€),Cost Per Tonne (€)
2025,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,1000000000.00,100000.00,1000100000.00,2413324.52
2025,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,1000000000.00,100000.00,1000100000.00,3223489.78
2026,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,967575000.00,98794.50,967673794.50,2335077.39
2026,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,967575000.00,98794.50,967673794.50,3118974.69
2026,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,160.05,-160.05,1028685.00,15430.27,1044115.28,6523.68
2027,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,936201380.62,97603.53,936298984.16,2259367.36
2027,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,936201380.62,97603.53,936298984.16,3017848.42
2027,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,304.87,-304.87,1058192.83,15872.89,1074065.72,3523.03
2027,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,55025819.65,5396.25,55031215.91,314797.64
2027,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,450.13,-450.13,1058192.83,15872.89,1074065.72,2386.15
2028,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,905845050.86,96426.92,905941477.78,2186112.17
2028,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,905845050.86,96426.92,905941477.78,2920001.09
2028,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,435.91,-435.91,1088547.09,16328.21,1104875.30,2534.66
2028,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,57725111.23,5606.01,57730717.24,330239.72
2028,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,643.60,-643.60,1088547.09,16328.21,1104875.30,1716.72
2029,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,876473025.08,95264.50,876568289.58,2115232.22
2029,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,876473025.08,95264.50,876568289.58,2825326.39
2029,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,554.48,-554.48,1119772.06,16796.58,1136568.64,2049.81
2029,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,60556816.57,5823.91,60562640.48,346439.31
